Time/s	Absorbance (460 nm)
13514	0.00491
13524	0.00532
13535	0.00571
13546	0.00603
13556	0.00628
13566	0.0064
13577	0.00628
13588	0.0058
13599	0.00503
13609	0.00432
13619	0.00387
13630	0.00372
13640	0.00381
13651	0.00408
13663	0.00448
13673	0.00486
13684	0.00529
13694	0.00569
13705	0.00608
13715	0.00644
13726	0.00678
13736	0.00706
13746	0.00723
13757	0.00712
13767	0.00651
13777	0.0054
13788	0.00421
13798	0.00353
13808	0.00335
13819	0.00349
13830	0.00383
13841	0.00428
13852	0.00473
13864	0.00519
13875	0.00558
13886	0.00588
13896	0.00605
13908	0.00605
13918	0.00581
13928	0.00533
13939	0.00474
13949	0.00421
13959	0.00394
13970	0.0039
13980	0.00404
13990	0.00429
14003	0.00469
14015	0.00511
14026	0.00549
14036	0.00584
14046	0.00617
14056	0.00648
14067	0.00672
14078	0.0068
14088	0.00657
14099	0.00587
14110	0.00487
14120	0.00403
14131	0.0036
14141	0.00355
14151	0.00374
14163	0.0041
14173	0.00453
14184	0.00496
14196	0.00543
14207	0.00583
14217	0.00617
14227	0.00649
14238	0.00672
14248	0.00678
14259	0.0065
14269	0.00577
14280	0.00478
14290	0.00398
14301	0.00359
14311	0.00356
14321	0.00377
14333	0.00414
14344	0.00459
14355	0.00503
14367	0.00548
14377	0.00585
14387	0.00618
14398	0.00647
14408	0.00664
14419	0.00658
14431	0.00611
14441	0.00532
14451	0.00442
14461	0.00382
14472	0.0036
14482	0.00367
14493	0.00394
14503	0.00429
14514	0.00472
14525	0.00517
14535	0.00556
14546	0.00595
14556	0.0063
14567	0.00662
14577	0.00683
14588	0.00687
14598	0.00655
14609	0.00571
14620	0.00463
14631	0.00384
14641	0.00352
14651	0.00354
14662	0.0038
14673	0.00418
14685	0.00465
14696	0.00511
14707	0.00553
14717	0.00588
14727	0.00619
14738	0.00642
14749	0.00651
14760	0.0063
14771	0.00567
14782	0.00481
14792	0.0041
14803	0.00372
14813	0.00368
14823	0.00385
14834	0.00415
14845	0.00455
14856	0.00498
14866	0.00537
14877	0.00579
14888	0.00619
14899	0.00655
14909	0.00686
14919	0.00708
14930	0.0071
14941	0.00669
14951	0.00574
14962	0.00455
14972	0.00372
14982	0.0034
14993	0.00346
15003	0.00374
15013	0.00411
15024	0.00456
15036	0.00501
15046	0.0054
15057	0.00575
15068	0.00603
15078	0.00618
15089	0.00614
15100	0.00579
15110	0.00522
15121	0.00456
15131	0.00408
15141	0.00384
15152	0.00386
15163	0.00407
15174	0.00438
15185	0.00479
15197	0.00522
15207	0.00561
15218	0.00597
15228	0.00631
15238	0.00664
15249	0.0069
15259	0.00703
15270	0.00686
15280	0.00624
15291	0.00512
15301	0.0041
15312	0.00355
15322	0.00344
15332	0.00361
15344	0.00397
15355	0.00441
15367	0.00493
15378	0.00534
15389	0.00572
15399	0.00603
15409	0.00627
15420	0.00636
15431	0.00621
15442	0.00569
15452	0.00493
15463	0.00427
15473	0.00385
15483	0.00374
15494	0.00386
15504	0.00412
15514	0.00446
15524	0.00484
15535	0.00526
15546	0.00568
15557	0.00607
15567	0.00643
15578	0.00677
15588	0.00705
15598	0.00721
15609	0.0071
15619	0.00646
15629	0.00535
15640	0.00418
15650	0.00352
15660	0.00335
15671	0.0035
15682	0.00384
15693	0.00429
15704	0.00475
15716	0.00521
15727	0.00558
15738	0.00589
15749	0.00608
15761	0.00607
15771	0.00582
15781	0.00533
15792	0.00467
15803	0.00417
15813	0.00392
15823	0.00389
15834	0.00405
15844	0.00432
15854	0.00466
15866	0.00508
15877	0.00547
15887	0.00583
15898	0.00616
15908	0.00648
15918	0.00673
15929	0.00685
15940	0.00669
15950	0.00604
15961	0.00503
15972	0.00412
15982	0.00362
15993	0.00352
16003	0.00368
16013	0.00401
16025	0.00445
16035	0.00486
16045	0.00528
16056	0.00569
16067	0.00607
16077	0.00637
16087	0.0066
16098	0.00668
16108	0.00648
16118	0.00587
16129	0.00497
16139	0.00412
16150	0.00368
16160	0.00359
16171	0.00375
16181	0.00408
16192	0.00447
16202	0.00487
16213	0.00529
16223	0.00569
16234	0.00608
16245	0.00642
16255	0.00669
16266	0.00682
16277	0.00668
16288	0.00604
16298	0.00504
16309	0.00413
16319	0.00363
16330	0.00352
16340	0.00368
16350	0.004
16362	0.00444
16375	0.00495
16385	0.00535
16395	0.00573
